Rk,Date,Team,H/A,Opponent,Result,Win/Loss,Team Points,Opponent Points,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Total Offense_Plays,Total Offense_Yds,Total Offense_Avg,First Downs_Pass,First Downs_Rush,First Downs_Pen,First Downs_Tot,Penalties_No.,Penalties_Yds,Turnovers_Fum,Turnovers_Int,Turnovers_Tot,Season,Custom,WINS,Losses
11,11/19/2016 0:00,Oklahoma State,Away,TCU,W (31-6),W,31,6,17,35,48.6,207,1,45,334,7.4,3,80,541,6.8,7,18,3,28,6,42,1,0,1,2016,Big 12,1,0
12,12/3/2016 0:00,Oklahoma State,Away,Oklahoma,L (20-38),L,20,38,11,25,44,186,0,37,217,5.9,2,62,403,6.5,6,10,1,17,3,22,0,0,0,2016,Big 12,0,1
13,12/29/2016 0:00,Oklahoma State,N,Colorado*,W (38-8),W,38,8,23,33,69.7,338,3,41,189,4.6,2,74,527,7.1,15,8,1,24,5,42,0,0,0,2016,,1,0
1,8/31/2017 0:00,Oklahoma State,Home,Tulsa,W (59-24),W,59,24,21,26,80.8,308,3,37,332,9,4,63,640,10.2,8,15,2,25,5,51,2,0,2,2017,,1,0
2,9/8/2017 0:00,Oklahoma State,Away,South Alabama,W (44-7),W,44,7,26,41,63.4,342,3,37,163,4.4,1,78,505,6.5,19,8,2,29,4,25,0,0,0,2017,,1,0
3,9/16/2017 0:00,Oklahoma State,Away,Pittsburgh,W (59-21),W,59,21,26,37,70.3,572,5,32,131,4.1,2,69,703,10.2,19,7,1,27,4,30,1,1,2,2017,,1,0
4,9/23/2017 0:00,Oklahoma State,Home,TCU,L (31-44),L,31,44,22,42,52.4,398,2,31,101,3.3,2,73,499,6.8,17,8,1,26,8,77,1,3,4,2017,Big 12,0,1
5,9/30/2017 0:00,Oklahoma State,Away,Texas Tech,W (41-34),W,41,34,27,38,71.1,376,3,44,221,5,2,82,597,7.3,20,9,3,32,8,78,0,1,1,2017,Big 12,1,0
6,10/14/2017 0:00,Oklahoma State,Home,Baylor,W (59-16),W,59,16,20,33,60.6,471,3,38,276,7.3,5,71,747,10.5,15,12,2,29,5,40,2,0,2,2017,Big 12,1,0
7,10/21/2017 0:00,Oklahoma State,Away,Texas,W (13-10),W,13,10,25,38,65.8,282,0,51,146,2.9,1,89,428,4.8,12,10,4,26,2,20,1,0,1,2017,Big 12,1,0
8,10/28/2017 0:00,Oklahoma State,Away,West Virginia,W (50-39),W,50,39,20,34,58.8,216,3,56,246,4.4,4,90,462,5.1,12,14,1,27,6,56,3,1,4,2017,Big 12,1,0
9,11/4/2017 0:00,Oklahoma State,Home,Oklahoma,L (52-62),L,52,62,28,54,51.9,448,5,34,213,6.3,2,88,661,7.5,17,10,5,32,5,40,1,2,3,2017,Big 12,0,1
10,11/11/2017 0:00,Oklahoma State,Away,Iowa State,W (49-42),W,49,42,25,31,80.6,376,3,37,146,3.9,3,68,522,7.7,15,7,1,23,9,105,0,0,0,2017,Big 12,1,0
11,11/18/2017 0:00,Oklahoma State,Home,Kansas State,L (40-45),L,40,45,32,53,60.4,425,3,31,85,2.7,2,84,510,6.1,23,4,3,30,2,20,0,2,2,2017,Big 12,0,1
12,11/25/2017 0:00,Oklahoma State,Home,Kansas,W (58-17),W,58,17,32,44,72.7,494,2,42,167,4,5,86,661,7.7,20,7,2,29,4,30,0,0,0,2017,Big 12,1,0
13,12/28/2017 0:00,Oklahoma State,Home,Virginia Tech*,W (30-21),W,30,21,21,32,65.6,351,2,31,141,4.5,1,63,492,7.8,16,7,1,24,4,20,0,0,0,2017,,1,0
1,8/30/2018 0:00,Oklahoma State,Home,Missouri State,W (58-17),W,58,17,25,37,67.6,296,5,55,436,7.9,3,92,732,8,15,15,3,33,7,55,1,1,2,2018,,1,0
2,9/8/2018 0:00,Oklahoma State,Home,South Alabama,W (55-13),W,55,13,26,42,61.9,453,2,44,164,3.7,4,86,617,7.2,21,7,4,32,9,112,1,2,3,2018,,1,0
3,9/15/2018 0:00,Oklahoma State,Home,Boise State,W (44-21),W,44,21,16,27,59.3,246,1,38,176,4.6,3,65,422,6.5,9,10,0,19,4,25,0,0,0,2018,,1,0
4,9/22/2018 0:00,Oklahoma State,Home,Texas Tech,L (17-41),L,17,41,18,38,47.4,258,1,24,128,5.3,1,62,386,6.2,12,6,0,18,8,73,1,1,2,2018,Big 12,0,1
5,9/29/2018 0:00,Oklahoma State,Away,Kansas,W (48-28),W,48,28,15,20,75,312,4,46,256,5.6,2,66,568,8.6,10,14,1,25,8,92,0,1,1,2018,Big 12,1,0
6,10/6/2018 0:00,Oklahoma State,Home,Iowa State,L (42-48),L,42,48,19,33,57.6,289,4,43,126,2.9,2,76,415,5.5,13,8,1,22,9,87,1,1,2,2018,Big 12,0,1
7,10/13/2018 0:00,Oklahoma State,Away,Kansas State,L (12-31),L,12,31,17,35,48.6,184,0,28,127,4.5,1,63,311,4.9,8,6,1,15,7,70,0,2,2,2018,Big 12,0,1
8,10/27/2018 0:00,Oklahoma State,Home,Texas,W (38-35),W,38,35,23,34,67.6,321,3,51,181,3.5,2,85,502,5.9,14,10,3,27,4,52,0,0,0,2018,Big 12,1,0
9,11/3/2018 0:00,Oklahoma State,Away,Baylor,L (31-35),L,31,35,25,42,59.5,311,1,47,212,4.5,3,89,523,5.9,16,13,3,32,12,133,1,0,1,2018,Big 12,0,1
10,11/10/2018 0:00,Oklahoma State,Away,Oklahoma,L (47-48),L,47,48,34,53,64.2,501,3,33,139,4.2,4,86,640,7.4,27,9,3,39,5,31,1,0,1,2018,Big 12,0,1
11,11/17/2018 0:00,Oklahoma State,Home,West Virginia,W (45-41),W,45,41,30,46,65.2,338,5,43,266,6.2,1,89,604,6.8,15,19,1,35,3,35,2,2,4,2018,Big 12,1,0
12,11/24/2018 0:00,Oklahoma State,Away,TCU,L (24-31),L,24,31,17,40,42.5,181,0,32,99,3.1,3,72,280,3.9,9,5,1,15,6,76,1,1,2,2018,Big 12,0,1
13,12/31/2018 0:00,Oklahoma State,N,Missouri*,W (38-33),W,38,33,27,45,60,333,4,35,169,4.8,1,80,502,6.3,15,10,2,27,7,76,0,2,2,2018,,1,0
1,8/30/2019 0:00,Oklahoma State,Away,Oregon State,W (52-36),W,52,36,19,24,79.2,203,3,52,352,6.8,4,76,555,7.3,11,15,4,30,6,55,0,0,0,2019,,1,0
2,9/7/2019 0:00,Oklahoma State,Home,McNeese State,W (56-14),W,56,14,23,32,71.9,413,5,44,167,3.8,2,76,580,7.6,9,14,2,25,5,29,2,0,2,2019,,1,0
3,9/14/2019 0:00,Oklahoma State,Away,Tulsa,W (40-21),W,40,21,12,22,54.5,169,1,46,337,7.3,4,68,506,7.4,4,12,5,21,9,80,1,1,2,2019,,1,0
4,9/21/2019 0:00,Oklahoma State,Away,Texas,L (30-36),L,30,36,19,33,57.6,268,0,56,226,4,3,89,494,5.6,11,12,3,26,9,69,0,2,2,2019,Big 12,0,1
5,9/28/2019 0:00,Oklahoma State,Home,Kansas State,W (26-13),W,26,13,16,25,64,153,1,44,373,8.5,1,69,526,7.6,7,12,2,21,6,60,0,2,2,2019,Big 12,1,0
6,10/5/2019 0:00,Oklahoma State,Away,Texas Tech,L (35-45),L,35,45,22,37,59.5,290,2,56,219,3.9,3,93,509,5.5,13,12,1,26,5,56,2,3,5,2019,Big 12,0,1
7,10/19/2019 0:00,Oklahoma State,Home,Baylor,L (27-45),L,27,45,22,36,61.1,188,1,50,281,5.6,3,86,469,5.5,11,13,3,27,8,92,2,1,3,2019,Big 12,0,1
8,10/26/2019 0:00,Oklahoma State,Away,Iowa State,W (34-27),W,34,27,16,24,66.7,249,2,31,153,4.9,1,55,402,7.3,6,7,1,14,2,23,0,1,1,2019,Big 12,1,0
9,11/2/2019 0:00,Oklahoma State,Home,TCU,W (34-27),W,34,27,9,15,60,158,2,41,301,7.3,2,56,459,8.2,4,10,3,17,5,37,0,1,1,2019,Big 12,1,0
10,11/16/2019 0:00,Oklahoma State,Home,Kansas,W (31-13),W,31,13,15,25,60,238,2,45,209,4.6,2,70,447,6.4,9,13,2,24,2,19,0,0,0,2019,Big 12,1,0
11,11/23/2019 0:00,Oklahoma State,Away,West Virginia,W (20-13),W,20,13,22,29,75.9,196,2,37,89,2.4,0,66,285,4.3,10,7,1,18,2,25,0,0,0,2019,Big 12,1,0
12,11/30/2019 0:00,Oklahoma State,Home,Oklahoma,L (16-34),L,16,34,22,32,68.8,207,0,29,128,4.4,1,61,335,5.5,8,8,4,20,3,25,1,1,2,2019,Big 12,0,1
13,12/27/2019 0:00,Oklahoma State,N,Texas A&M*,L (21-24),L,21,24,15,28,53.6,184,2,31,150,4.8,1,59,334,5.7,7,8,2,17,5,42,0,0,0,2019,,0,1
1,9/19/2020 0:00,Oklahoma State,Home,Tulsa,W (16-7),W,16,7,14,20,70,143,0,48,149,3.1,1,68,292,4.3,6,10,2,18,8,68,1,1,2,2020,,1,0
2,9/26/2020 0:00,Oklahoma State,Home,West Virginia,W (27-13),W,27,13,15,22,68.2,139,0,41,203,5,2,63,342,5.4,7,10,3,20,7,65,0,1,1,2020,Big 12,1,0
3,10/3/2020 0:00,Oklahoma State,Away,Kansas,W (47-7),W,47,7,20,30,66.7,298,3,60,295,4.9,2,90,593,6.6,10,20,1,31,5,35,0,0,0,2020,Big 12,1,0
4,10/24/2020 0:00,Oklahoma State,Home,Iowa State,W (24-21),W,24,21,20,29,69,235,1,51,226,4.4,2,80,461,5.8,13,10,1,24,10,73,0,2,2,2020,Big 12,1,0
5,10/31/2020 0:00,Oklahoma State,Home,Texas,L (34-41),L,34,41,27,40,67.5,400,4,51,130,2.5,0,91,530,5.8,19,8,5,32,8,70,3,1,4,2020,Big 12,0,1
6,11/7/2020 0:00,Oklahoma State,Away,Kansas State,W (20-18),W,20,18,14,23,60.9,108,0,40,148,3.7,1,63,256,4.1,5,8,1,14,6,65,0,0,0,2020,Big 12,1,0
7,11/21/2020 0:00,Oklahoma State,Away,Oklahoma,L (13-41),L,13,41,15,40,37.5,168,1,28,78,2.8,0,68,246,3.6,8,4,7,19,8,41,0,1,1,2020,Big 12,0,1
8,11/28/2020 0:00,Oklahoma State,Home,Texas Tech,W (50-44),W,50,44,19,31,61.3,222,1,57,317,5.6,4,88,539,6.1,9,17,4,30,3,20,2,1,3,2020,Big 12,1,0
9,12/5/2020 0:00,Oklahoma State,Away,TCU,L (22-29),L,22,29,16,36,44.4,270,1,40,148,3.7,1,76,418,5.5,10,5,1,16,5,50,0,1,1,2020,Big 12,0,1
10,12/12/2020 0:00,Oklahoma State,Away,Baylor,W (42-3),W,42,3,20,30,66.7,347,3,47,261,5.6,3,77,608,7.9,12,15,0,27,4,25,0,2,2,2020,Big 12,1,0
11,12/29/2020 0:00,Oklahoma State,N,Miami (FL)*,W (37-34),W,37,34,27,40,67.5,305,4,43,113,2.6,1,83,418,5,17,7,5,29,9,81,0,0,0,2020,,1,0
1,9/4/2021 0:00,Oklahoma State,Home,Missouri State,W (23-16),W,23,16,22,40,55,315,1,28,54,1.9,2,68,369,5.4,12,3,1,16,10,68,2,1,3,2021,,1,0
2,9/11/2021 0:00,Oklahoma State,Home,Tulsa,W (28-23),W,28,23,15,26,57.7,173,2,43,140,3.3,1,69,313,4.5,9,8,2,19,7,70,0,1,1,2021,,1,0
3,9/18/2021 0:00,Oklahoma State,Away,Boise State,W (21-20),W,21,20,6,13,46.2,82,0,57,246,4.3,3,70,328,4.7,4,10,1,15,5,40,1,0,1,2021,,1,0
4,9/25/2021 0:00,Oklahoma State,Home,Kansas State,W (31-20),W,31,20,22,34,64.7,344,2,43,137,3.2,1,77,481,6.2,14,8,3,25,8,79,0,0,0,2021,Big 12,1,0
5,10/2/2021 0:00,Oklahoma State,Home,Baylor,W (24-14),W,24,14,13,23,56.5,182,1,59,219,3.7,2,82,401,4.9,10,12,2,24,6,60,0,3,3,2021,Big 12,1,0
6,10/16/2021 0:00,Oklahoma State,Away,Texas,W (32-24),W,32,24,19,33,57.6,178,1,49,220,4.5,1,82,398,4.9,11,10,4,25,7,65,0,1,1,2021,Big 12,1,0
7,10/23/2021 0:00,Oklahoma State,Away,Iowa State,L (21-24),L,21,24,15,24,62.5,225,3,32,107,3.3,0,56,332,5.9,9,5,2,16,7,72,0,0,0,2021,Big 12,0,1
8,10/30/2021 0:00,Oklahoma State,Home,Kansas,W (55-3),W,55,3,20,32,62.5,243,4,47,292,6.2,3,79,535,6.8,13,16,2,31,1,15,0,0,0,2021,Big 12,1,0
9,11/6/2021 0:00,Oklahoma State,Away,West Virginia,W (24-3),W,24,3,21,31,67.7,182,2,32,103,3.2,1,63,285,4.5,8,7,2,17,7,55,0,1,1,2021,Big 12,1,0
10,11/13/2021 0:00,Oklahoma State,Home,TCU,W (63-17),W,63,17,17,25,68,235,1,62,447,7.2,8,87,682,7.8,11,21,5,37,1,15,2,0,2,2021,Big 12,1,0
11,11/20/2021 0:00,Oklahoma State,Away,Texas Tech,W (23-0),W,23,0,19,39,48.7,239,1,48,188,3.9,1,87,427,4.9,11,12,4,27,9,87,0,0,0,2021,Big 12,1,0
12,11/27/2021 0:00,Oklahoma State,Home,Oklahoma,W (37-33),W,37,33,19,30,63.3,214,1,35,145,4.1,3,65,359,5.5,12,7,2,21,6,60,1,2,3,2021,Big 12,1,0
13,12/4/2021 0:00,Oklahoma State,N,Baylor,L (16-21),L,16,21,32,47,68.1,263,0,40,70,1.8,1,87,333,3.8,14,8,4,26,6,50,0,4,4,2021,Big 12,0,1
14,1/1/2022 0:00,Oklahoma State,N,Notre Dame*,W (37-35),W,37,35,34,51,66.7,371,4,44,234,5.3,0,95,605,6.4,19,14,1,34,4,45,2,0,2,2022,,1,0
1,9/1/2022 0:00,Oklahoma State,Home,Central Michigan,W (58-44),W,58,44,28,41,68.3,406,4,32,125,3.9,4,73,531,7.3,17,9,2,28,5,45,0,0,0,2022,,1,0
2,9/10/2022 0:00,Oklahoma State,Home,Arizona State,W (34-17),W,34,17,21,38,55.3,268,2,46,197,4.3,2,84,465,5.5,14,9,7,30,7,69,0,1,1,2022,,1,0
3,9/17/2022 0:00,Oklahoma State,Home,Arkansas-Pine Bluff,W (63-7),W,63,7,25,38,65.8,370,6,27,168,6.2,1,65,538,8.3,16,8,2,26,2,20,1,1,2,2022,,1,0
4,10/1/2022 0:00,Oklahoma State,Away,Baylor,W (36-25),W,36,25,21,30,70,213,1,46,166,3.6,2,76,379,5,10,13,0,23,3,25,0,1,1,2022,Big 12,1,0
5,10/8/2022 0:00,Oklahoma State,Home,Texas Tech,W (41-31),W,41,31,22,45,48.9,297,1,41,137,3.3,3,86,434,5,15,9,1,25,4,38,0,0,0,2022,Big 12,1,0
6,10/15/2022 0:00,Oklahoma State,Away,TCU,L (40-43),L,40,43,16,36,44.4,245,1,41,141,3.4,3,77,386,5,12,7,0,19,6,49,0,1,1,2022,Big 12,0,1
7,10/22/2022 0:00,Oklahoma State,Home,Texas,W (41-34),W,41,34,35,58,60.3,393,2,40,142,3.6,3,98,535,5.5,17,9,6,32,0,0,1,1,2,2022,Big 12,1,0
8,10/29/2022 0:00,Oklahoma State,Away,Kansas State,L (0-48),L,0,48,15,33,45.5,163,0,30,54,1.8,0,63,217,3.4,8,3,3,14,4,35,1,2,3,2022,Big 12,0,1
9,11/5/2022 0:00,Oklahoma State,Away,Kansas,L (16-37),L,16,37,27,40,67.5,304,2,35,110,3.1,0,75,414,5.5,16,7,2,25,1,15,1,3,4,2022,Big 12,0,1
10,11/12/2022 0:00,Oklahoma State,Home,Iowa State,W (20-14),W,20,14,14,25,56,187,2,35,57,1.6,0,60,244,4.1,6,4,1,11,5,55,0,2,2,2022,Big 12,1,0
11,11/19/2022 0:00,Oklahoma State,Away,Oklahoma,L (13-28),L,13,28,36,67,53.7,381,1,35,103,2.9,0,102,484,4.7,18,7,1,26,3,20,0,4,4,2022,Big 12,0,1
12,11/26/2022 0:00,Oklahoma State,Home,West Virginia,L (19-24),L,19,24,18,42,42.9,178,0,42,180,4.3,2,84,358,4.3,6,12,2,20,3,30,1,0,1,2022,Big 12,0,1
13,12/27/2022 0:00,Oklahoma State,N,Wisconsin*,L (17-24),L,17,24,14,31,45.2,229,2,26,52,2,0,57,281,4.9,7,3,0,10,3,35,0,2,2,2022,,0,1
1,9/1/2012 0:00,Kansas State,Home,Missouri State,W (51-9),W,51,9,19,28,67.9,169,2,40,324,8.1,3,68,493,7.3,7,13,1,21,2,15,0,0,0,2012,,1,0
2,9/8/2012 0:00,Kansas State,Home,Miami (FL),W (52-13),W,52,13,9,11,81.8,210,1,60,288,4.8,6,71,498,7,7,19,1,27,2,12,0,1,1,2012,,1,0
3,9/15/2012 0:00,Kansas State,Home,North Texas,W (35-21),W,35,21,15,20,75,230,2,28,143,5.1,2,48,373,7.8,12,6,3,21,1,15,1,1,2,2012,,1,0
4,9/22/2012 0:00,Kansas State,Away,Oklahoma,W (24-19),W,24,19,13,21,61.9,149,0,44,213,4.8,2,65,362,5.6,10,9,0,19,3,24,0,0,0,2012,Big 12,1,0
5,10/6/2012 0:00,Kansas State,Home,Kansas,W (56-16),W,56,16,7,14,50,129,2,37,346,9.4,6,51,475,9.3,5,17,0,22,1,5,0,0,0,2012,Big 12,1,0
6,10/13/2012 0:00,Kansas State,Away,Iowa State,W (27-21),W,27,21,16,24,66.7,187,0,52,177,3.4,3,76,364,4.8,9,13,3,25,9,62,1,0,1,2012,Big 12,1,0
7,10/20/2012 0:00,Kansas State,Away,West Virginia,W (55-14),W,55,14,20,23,87,333,3,39,146,3.7,4,62,479,7.7,15,8,1,24,6,55,0,0,0,2012,Big 12,1,0
8,10/27/2012 0:00,Kansas State,Home,Texas Tech,W (55-24),W,55,24,19,27,70.4,233,2,36,193,5.4,4,63,426,6.8,13,13,4,30,5,45,0,0,0,2012,Big 12,1,0
9,11/3/2012 0:00,Kansas State,Home,Oklahoma State,W (44-30),W,44,30,21,28,75,290,0,43,191,4.4,3,71,481,6.8,12,10,3,25,2,13,0,0,0,2012,Big 12,1,0
10,11/10/2012 0:00,Kansas State,Away,TCU,W (23-10),W,23,10,12,21,57.1,145,0,34,115,3.4,2,55,260,4.7,6,6,0,12,1,5,1,1,2,2012,Big 12,1,0
11,11/17/2012 0:00,Kansas State,Away,Baylor,L (24-52),L,24,52,27,51,52.9,286,2,31,76,2.5,1,82,362,4.4,13,7,1,21,7,60,0,3,3,2012,Big 12,0,1
12,12/1/2012 0:00,Kansas State,Home,Texas,W (42-24),W,42,24,8,14,57.1,184,1,45,178,4,5,59,362,6.1,8,7,0,15,3,35,0,1,1,2012,Big 12,1,0
13,1/3/2013 0:00,Kansas State,N,Oregon*,L (17-35),L,17,35,17,33,51.5,151,1,37,132,3.6,1,70,283,4,9,10,1,20,7,57,0,2,2,2013,,0,1
1,8/30/2013 0:00,Kansas State,Home,North Dakota State,L (21-24),L,21,24,21,29,72.4,280,2,23,41,1.8,1,52,321,6.2,14,3,0,17,2,10,0,2,2,2013,,0,1
2,9/7/2013 0:00,Kansas State,Home,Louisiana,W (48-27),W,48,27,23,34,67.6,305,0,37,149,4,4,71,454,6.4,13,10,0,23,4,39,0,2,2,2013,,1,0
3,9/14/2013 0:00,Kansas State,Home,Massachusetts,W (37-7),W,37,7,7,12,58.3,127,2,46,329,7.2,2,58,456,7.9,4,17,1,22,2,24,1,1,2,2013,,1,0
4,9/21/2013 0:00,Kansas State,Away,Texas,L (21-31),L,21,31,19,30,63.3,275,0,38,115,3,3,68,390,5.7,11,6,4,21,8,65,3,0,3,2013,Big 12,0,1
5,10/5/2013 0:00,Kansas State,Away,Oklahoma State,L (29-33),L,29,33,18,28,64.3,192,2,38,144,3.8,1,66,336,5.1,9,9,1,19,12,92,2,3,5,2013,Big 12,0,1
6,10/12/2013 0:00,Kansas State,Home,Baylor,L (25-35),L,25,35,10,22,45.5,118,0,58,327,5.6,3,80,445,5.6,8,14,1,23,4,37,0,1,1,2013,Big 12,0,1
7,10/26/2013 0:00,Kansas State,Home,West Virginia,W (35-12),W,35,12,18,21,85.7,291,4,43,157,3.7,1,64,448,7,13,6,0,19,4,33,2,0,2,2013,Big 12,1,0
8,11/2/2013 0:00,Kansas State,Home,Iowa State,W (41-7),W,41,7,13,20,65,221,1,48,226,4.7,4,68,447,6.6,11,8,0,19,1,10,1,0,1,2013,Big 12,1,0
9,11/9/2013 0:00,Kansas State,Away,Texas Tech,W (49-26),W,49,26,7,11,63.6,76,1,45,291,6.5,5,56,367,6.6,4,13,2,19,6,62,0,0,0,2013,Big 12,1,0
10,11/16/2013 0:00,Kansas State,Home,TCU,W (33-31),W,33,31,13,29,44.8,257,2,35,154,4.4,1,64,411,6.4,9,8,2,19,5,45,1,1,2,2013,Big 12,1,0
11,11/23/2013 0:00,Kansas State,Home,Oklahoma,L (31-41),L,31,41,17,29,58.6,348,3,22,24,1.1,1,51,372,7.3,12,3,2,17,4,24,0,2,2,2013,Big 12,0,1
12,11/30/2013 0:00,Kansas State,Away,Kansas,W (31-10),W,31,10,10,21,47.6,160,2,45,208,4.6,2,66,368,5.6,8,12,0,20,8,80,1,1,2,2013,Big 12,1,0
13,12/28/2013 0:00,Kansas State,N,Michigan*,W (31-14),W,31,14,21,28,75,271,3,36,149,4.1,1,64,420,6.6,12,8,1,21,6,64,1,0,1,2013,,1,0
1,8/30/2014 0:00,Kansas State,Home,Stephen F. Austin,W (55-16),W,55,16,20,30,66.7,238,3,51,240,4.7,4,81,478,5.9,13,16,0,29,3,15,0,1,1,2014,,1,0
2,9/6/2014 0:00,Kansas State,Away,Iowa State,W (32-28),W,32,28,16,29,55.2,239,0,41,232,5.7,4,70,471,6.7,9,12,3,24,10,77,0,0,0,2014,Big 12,1,0
3,9/18/2014 0:00,Kansas State,Home,Auburn,L (14-20),L,14,20,24,40,60,245,0,30,40,1.3,2,70,285,4.1,13,4,3,20,0,0,1,2,3,2014,,0,1
4,9/27/2014 0:00,Kansas State,Home,UTEP,W (58-28),W,58,28,13,19,68.4,263,1,37,188,5.1,6,56,451,8.1,9,7,0,16,6,55,1,0,1,2014,,1,0
5,10/4/2014 0:00,Kansas State,Home,Texas Tech,W (45-13),W,45,13,24,31,77.4,290,4,50,245,4.9,2,81,535,6.6,13,12,4,29,1,15,1,0,1,2014,Big 12,1,0
6,10/18/2014 0:00,Kansas State,Away,Oklahoma,W (31-30),W,31,30,15,23,65.2,225,2,32,160,5,1,55,385,7,8,9,0,17,2,20,0,0,0,2014,Big 12,1,0
7,10/25/2014 0:00,Kansas State,Home,Texas,W (23-0),W,23,0,19,30,63.3,224,0,43,143,3.3,2,73,367,5,9,10,3,22,3,25,0,0,0,2014,Big 12,1,0
8,11/1/2014 0:00,Kansas State,Home,Oklahoma State,W (48-14),W,48,14,20,33,60.6,287,2,33,134,4.1,3,66,421,6.4,11,7,3,21,2,15,0,1,1,2014,Big 12,1,0
9,11/8/2014 0:00,Kansas State,Away,TCU,L (20-41),L,20,41,22,40,55,376,2,19,34,1.8,1,59,410,6.9,13,2,1,16,5,68,0,1,1,2014,Big 12,0,1
10,11/20/2014 0:00,Kansas State,Away,West Virginia,W (26-20),W,26,20,22,34,64.7,400,1,29,1,0,0,63,401,6.4,16,0,2,18,10,102,1,1,2,2014,Big 12,1,0
11,11/29/2014 0:00,Kansas State,Home,Kansas,W (51-13),W,51,13,23,30,76.7,311,4,39,194,5,2,69,505,7.3,17,10,1,28,6,50,0,0,0,2014,Big 12,1,0
12,12/6/2014 0:00,Kansas State,Away,Baylor,L (27-38),L,27,38,22,27,81.5,300,2,40,103,2.6,1,67,403,6,14,10,3,27,3,30,0,1,1,2014,Big 12,0,1
13,1/2/2015 0:00,Kansas State,N,UCLA*,L (35-40),L,35,40,31,49,63.3,338,2,32,31,1,2,81,369,4.6,17,5,5,27,6,39,1,1,2,2015,,0,1
1,9/5/2015 0:00,Kansas State,Home,South Dakota,W (34-0),W,34,0,9,18,50,147,1,40,185,4.6,2,58,332,5.7,6,10,0,16,8,66,1,0,1,2015,,1,0
2,9/12/2015 0:00,Kansas State,Away,UTSA,W (30-3),W,30,3,12,23,52.2,243,0,44,175,4,3,67,418,6.2,10,9,3,22,9,85,0,0,0,2015,,1,0
3,9/19/2015 0:00,Kansas State,Home,Louisiana Tech,W (39-33),W,39,33,15,26,57.7,195,3,45,160,3.6,1,71,355,5,8,8,1,17,4,35,1,0,1,2015,,1,0
4,10/3/2015 0:00,Kansas State,Away,Oklahoma State,L (34-36),L,34,36,13,25,52,207,2,42,144,3.4,3,67,351,5.2,8,9,5,22,9,54,0,1,1,2015,Big 12,0,1
5,10/10/2015 0:00,Kansas State,Home,TCU,L (45-52),L,45,52,13,33,39.4,157,0,48,228,4.8,6,81,385,4.8,8,14,6,28,3,35,1,1,2,2015,Big 12,0,1
6,10/17/2015 0:00,Kansas State,Home,Oklahoma,L (0-55),L,0,55,5,22,22.7,45,0,31,65,2.1,0,53,110,2.1,2,5,0,7,1,5,0,3,3,2015,Big 12,0,1
7,10/24/2015 0:00,Kansas State,Away,Texas,L (9-23),L,9,23,11,24,45.8,107,1,37,135,3.6,0,61,242,4,5,9,1,15,5,27,0,1,1,2015,Big 12,0,1
8,11/5/2015 0:00,Kansas State,Home,Baylor,L (24-31),L,24,31,13,23,56.5,172,1,48,258,5.4,2,71,430,6.1,6,15,1,22,7,39,1,2,3,2015,Big 12,0,1
9,11/14/2015 0:00,Kansas State,Away,Texas Tech,L (44-59),L,44,59,19,42,45.2,289,2,34,123,3.6,3,76,412,5.4,11,6,2,19,7,55,1,1,2,2015,Big 12,0,1
10,11/21/2015 0:00,Kansas State,Home,Iowa State,W (38-35),W,38,35,19,33,57.6,220,2,41,165,4,2,74,385,5.2,11,11,0,22,5,35,1,0,1,2015,Big 12,1,0
11,11/28/2015 0:00,Kansas State,Away,Kansas,W (45-14),W,45,14,11,20,55,137,0,49,226,4.6,5,69,363,5.3,7,12,3,22,1,5,0,1,1,2015,Big 12,1,0
12,12/5/2015 0:00,Kansas State,Home,West Virginia,W (24-23),W,24,23,10,31,32.3,206,1,49,98,2,1,80,304,3.8,7,6,2,15,3,35,0,2,2,2015,Big 12,1,0
13,1/2/2016 0:00,Kansas State,N,Arkansas*,L (23-45),L,23,45,12,25,48,163,1,22,79,3.6,1,47,242,5.1,10,2,1,13,4,25,0,1,1,2016,,0,1
1,9/2/2016 0:00,Kansas State,Away,Stanford,L (13-26),L,13,26,19,41,46.3,243,1,32,92,2.9,0,73,335,4.6,11,6,1,18,8,44,0,2,2,2016,,0,1
2,9/17/2016 0:00,Kansas State,Home,Florida Atlantic,W (63-7),W,63,7,13,18,72.2,159,1,54,336,6.2,7,72,495,6.9,7,15,2,24,13,131,1,0,1,2016,,1,0
3,9/24/2016 0:00,Kansas State,Home,Missouri State,W (35-0),W,35,0,10,13,76.9,105,2,22,165,7.5,3,35,270,7.7,5,8,0,13,2,24,0,0,0,2016,,1,0
4,10/1/2016 0:00,Kansas State,Away,West Virginia,L (16-17),L,16,17,10,30,33.3,166,0,42,120,2.9,1,72,286,4,8,7,2,17,6,25,0,1,1,2016,Big 12,0,1
5,10/8/2016 0:00,Kansas State,Home,Texas Tech,W (44-38),W,44,38,10,20,50,104,1,39,231,5.9,2,59,335,5.7,7,13,1,21,6,50,0,0,0,2016,Big 12,1,0
6,10/15/2016 0:00,Kansas State,Away,Oklahoma,L (17-38),L,17,38,20,37,54.1,225,1,32,110,3.4,1,69,335,4.9,12,6,1,19,7,35,0,0,0,2016,Big 12,0,1
